200000	200000	4376	365	4884.01	4825.61
211471	201662	4404	366	4902.08	4848.66
214636	203617	4442	367	4929.71	4918.68
217502	203732	4452	368	4944.64	4933.60
223960	203942	4456	369	4955.56	4925.25
229749	205618	4482	370	4973.92	4970.46
353849	205829	4506	371	4993.94	4972.26
356490	206872	4528	372	5018.24	5015.08
363336	208243	4542	373	5030.35	5030.06
371129	212782	4612	374	5081.19	5080.90
523653	214262	5076	375	5344.79	5344.79
592660	217009	5394	376	5526.32	5526.32
595194	217213	5410	377	5549.90	5549.90
