200000	200000	4388	416	5181.61	5081.73
201809	201809	4432	417	5214.01	5171.09
207476	202868	4464	418	5245.10	5245.10
309238	204260	4468	419	5254.87	5254.87
357290	206581	4854	420	5483.77	5417.10
362059	208947	4900	421	5520.59	5504.41
389468	213947	4955	422	5564.95	5564.95
416163	214570	4989	423	5602.81	5602.81
426694	216717	5051	424	5646.48	5646.48
438635	220474	5105	425	5683.98	5683.70
450838	222059	5131	426	5712.17	5712.17
468507	222302	5135	427	5719.64	5719.64
472093	223978	5175	428	5749.85	5749.85
