200000	200000	4067	361	4433.67	4429.93
218819	201021	4107	362	4466.65	4463.20
226397	201146	4113	363	4477.18	4473.73
227556	202305	4129	364	4494.12	4487.51
241781	203369	4153	365	4518.27	4514.82
244812	204904	4193	366	4554.96	4551.51
263771	205478	4221	367	4582.65	4580.06
278016	207815	4283	368	4634.91	4632.32
364447	208007	4287	369	4639.79	4639.50
411686	208695	4307	370	4663.08	4663.08
418052	212234	4363	371	4702.07	4702.07
668734	212322	4367	372	4710.41	4710.41
945363	213563	4409	373	4738.94	4738.94
989161	213922	4423	374	4753.47	4753.47
