200000	200000	7183	50	4476.41	4419.90
205000	205000	7380	51	4593.24	4553.35
207061	207061	7448	52	4633.40	4604.74
253996	210163	7572	53	4712.64	4685.33
314820	215163	7886	54	5017.14	4979.33
351939	220163	8039	55	5104.26	5061.64
387111	224950	8185	56	5194.89	5174.47
451174	229950	8251	57	5245.45	5216.55
461166	234950	8444	58	5372.15	5390.27
466166	239950	8617	59	5477.63	5545.94
474830	244950	8846	60	5619.25	5578.87
488278	249460	8972	61	5702.37	5696.49
529186	253441	9140	62	5810.63	5915.46
533848	258103	9290	63	5914.55	5897.11
558069	261475	9382	64	5971.36	5937.54
644979	266475	9437	65	6003.66	5963.22
692177	271475	9639	66	6126.85	6093.93
720808	276475	9792	67	6228.57	6180.17
765851	280841	9996	68	6362.85	6321.74
767983	282973	10054	69	6406.99	6372.47
789144	285106	10110	70	6445.18	6565.94
