200000	200000	7049	49	4379.97	4396.08
222187	205000	7264	50	4520.07	4468.48
227187	210000	7480	51	4656.19	4621.59
257544	212132	7578	52	4726.00	4689.69
371533	217019	7598	53	4741.18	4714.10
389933	222019	7810	54	4860.15	4801.31
415028	227019	8006	55	4975.88	4921.33
419449	231440	8170	56	5083.34	5025.74
439553	234239	8252	57	5133.96	5072.36
496983	239239	8833	58	5663.63	5608.11
511983	244239	9221	59	5980.35	5854.03
577952	247223	9269	60	6020.62	5973.68
582952	252223	9424	61	6112.99	6078.02
597312	257223	9615	62	6227.50	6171.12
623082	260342	9703	63	6284.20	6242.32
